fullName,name,gene_id,summary,Protein_Domains
insulin receptor substrate 2,IRS2,6862,"This gene encodes the insulin receptor substrate 2, a cytoplasmic signaling molecule that mediates effects of insulin, insulin-like growth factor 1, and other cytokines by acting as a molecular adaptor between diverse receptor tyrosine kinases and downstream effectors. The product of this gene is phosphorylated by the insulin receptor tyrosine kinase upon receptor stimulation, as well as by an interleukin 4 receptor-associated kinase in response to IL4 treatment. [provided by RefSeq, Jul 2008].","['Pleckstrin homology domain', 'IRS-type PTB domain', 'PH-like domain superfamily', 'Insulin receptor substrate']"
ATP binding cassette subfamily C member 3,ABCC3,6906,"The protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MRP subfamily which is involved in multi-drug resistance. The specific function of this protein has not yet been determined; however, this protein may play a role in the transport of biliary and intestinal excretion of organic anions. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized. [provided by RefSeq, Jul 2008].","['ABC transporter type 1, transmembrane domain', 'ABC transporter type 1, transmembrane domain superfamily', 'ATP-binding cassette transporter C', 'ABC transporter-like, ATP-binding domain', 'AAA+ ATPase domain', 'Multi drug resistance-associated protein', 'ABC transporter-like, conserved site', 'P-loop containing nucleoside triphosphate hydrolase']"
TNF receptor superfamily member 14,TNFRSF14,6945,"This gene encodes a member of the TNF (tumor necrosis factor) receptor superfamily. The encoded protein functions in signal transduction pathways that activate inflammatory and inhibitory T-cell immune response. It binds herpes simplex virus (HSV) viral envelope glycoprotein D (gD), mediating its entry into cells. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014].","['TNFR/NGFR cysteine-rich region', 'Tumour necrosis factor receptor 14', 'Tumor necrosis factor receptor 14/UL144, N-terminal']"
CASP8 and FADD like apoptosis regulator,CFLAR,7009,"The protein encoded by this gene is a regulator of apoptosis and is structurally similar to caspase-8. However, the encoded protein lacks caspase activity and appears to be itself cleaved into two peptides by caspase-8. Several transcript variants encoding different isoforms have been found for this gene, and partial evidence for several more variants exists. [provided by RefSeq, Feb 2011].","['Peptidase C14, p20 domain', 'Death effector domain', 'Death-like domain superfamily', 'Peptidase C14, caspase domain', 'Peptidase C14A, caspase catalytic domain', 'Caspase-like domain superfamily', 'CASP8 and FADD-like apoptosis regulator']"
prominin 1,PROM1,7014,"This gene encodes a pentaspan transmembrane glycoprotein. The protein localizes to membrane protrusions and is often expressed on adult stem cells, where it is thought to function in maintaining stem cell properties by suppressing differentiation. Mutations in this gene have been shown to result in retinitis pigmentosa and Stargardt disease. Expression of this gene is also associated with several types of cancer. This gene is expressed from at least five alternative promoters that are expressed in a tissue-dependent manner. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009].",[]
aldehyde dehydrogenase 1 family member A2,ALDH1A2,7024,"This protein belongs to the aldehyde dehydrogenase family of proteins. The product of this gene is an enzyme that catalyzes the synthesis of retinoic acid (RA) from retinaldehyde. Retinoic acid, the active derivative of vitamin A (retinol), is a hormonal signaling molecule that functions in developing and adult tissues. The studies of a similar mouse gene suggest that this enzyme and the cytochrome CYP26A1, concurrently establish local embryonic retinoic acid levels which facilitate posterior organ development and prevent spina bifida. Four transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, May 2011].","['Aldehyde dehydrogenase domain', 'Aldehyde dehydrogenase, cysteine active site', 'Aldehyde/histidinol dehydrogenase', 'Aldehyde dehydrogenase, N-terminal', 'Aldehyde dehydrogenase, C-terminal', 'Aldehyde dehydrogenase, glutamic acid active site']"
sphingosine kinase 1,SPHK1,7041,"The protein encoded by this gene catalyzes the phosphorylation of sphingosine to form sphingosine-1-phosphate (S1P), a lipid mediator with both intra- and extracellular functions. Intracellularly, S1P regulates proliferation and survival, and extracellularly, it is a ligand for cell surface G protein-coupled receptors. This protein, and its product S1P, play a key role in TNF-alpha signaling and the NF-kappa-B activation pathway important in inflammatory, antiapoptotic, and immune processes. Phosphorylation of this protein alters its catalytic activity and promotes its translocation to the plasma membrane. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Sep 2017].","['Diacylglycerol kinase, catalytic domain', 'NAD kinase/diacylglycerol kinase-like domain superfamily', 'Inorganic polyphosphate/ATP-NAD kinase, N-terminal', 'Lipid Phosphate Formation and Regulation']"
far upstream element binding protein 1,FUBP1,7044,"The protein encoded by this gene is a single stranded DNA-binding protein that binds to multiple DNA elements, including the far upstream element (FUSE) located upstream of c-myc. Binding to FUSE occurs on the non-coding strand, and is important to the regulation of c-myc in undifferentiated cells. This protein contains three domains, an amphipathic helix N-terminal domain, a DNA-binding central domain, and a C-terminal transactivation domain that contains three tyrosine-rich motifs. The N-terminal domain is thought to repress the activity of the C-terminal domain. This protein is also thought to bind RNA, and contains 3'-5' helicase activity with in vitro activity on both DNA-DNA and RNA-RNA duplexes. Aberrant expression of this gene has been found in malignant tissues, and this gene is important to neural system and lung development. Binding of this protein to viral RNA is thought to play a role in several viral diseases, including hepatitis C and hand, foot and mouth disease. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014].","['K Homology domain', 'K Homology domain, type 1', 'Far upstream element-binding protein, C-terminal', 'K Homology domain, type 1 superfamily', 'Far upstream element-binding protein 1, first type I KH domain', 'Far upstream element-binding protein 1, second type I KH domain', 'Far upstream element-binding protein 1, third type I KH domain', 'Far upstream element-binding protein 1, fourth type I KH domain']"
BCL10 immune signaling adaptor,BCL10,7074,"This gene was identified by its translocation in a case of mucosa-associated lymphoid tissue (MALT) lymphoma. The protein encoded by this gene contains a caspase recruitment domain (CARD), and has been shown to induce apoptosis and to activate NF-kappaB. This protein is reported to interact with other CARD domain containing proteins including CARD9, 10, 11 and 14, which are thought to function as upstream regulators in NF-kappaB signaling. This protein is found to form a complex with MALT1, a protein encoded by another gene known to be translocated in MALT lymphoma. MALT1 and this protein are thought to synergize in the activation of NF-kappaB, and the deregulation of either of them may contribute to the same pathogenetic process that leads to the malignancy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016].","['CARD domain', 'Death-like domain superfamily', 'B-cell lymphoma/leukemia 10/E10', 'BCL10, CARD domain']"
"methyl-CpG binding domain 4, DNA glycosylase",MBD4,7084,"The protein encoded by this gene is a member of a family of nuclear proteins related by the presence of a methyl-CpG binding domain (MBD). These proteins are capable of binding specifically to methylated DNA, and some members can also repress transcription from methylated gene promoters. This protein contains an MBD domain at the N-terminus that functions both in binding to methylated DNA and in protein interactions and a C-terminal mismatch-specific glycosylase domain that is involved in DNA repair. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2013].","['Methyl-CpG DNA binding', 'DNA glycosylase', 'DNA-binding domain superfamily', 'Methyl-CpG-binding domain protein 4', 'Methyl-CpG binding protein MeCP2/MBD4']"
cyclin E2,CCNE2,7222,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK2. This cyclin has been shown to specifically interact with CIP/KIP family of CDK inhibitors, and plays a role in cell cycle G1/S transition. The expression of this gene peaks at the G1-S phase and exhibits a pattern of tissue specificity distinct from that of cyclin E1. A significantly increased expression level of this gene was observed in tumor-derived cells. [provided by RefSeq, Jul 2008].","['Cyclin, N-terminal', 'Cyclin-like domain', 'Cyclin-like superfamily', 'Cyclin', 'Cyclins, cyclin-box', 'Cyclin, C-terminal domain']"
aurora kinase B,AURKB,7282,"This gene encodes a member of the aurora kinase subfamily of serine/threonine kinases. The genes encoding the other two members of this subfamily are located on chromosomes 19 and 20. These kinases participate in the regulation of alignment and segregation of chromosomes during mitosis and meiosis through association with microtubules. A pseudogene of this gene is located on chromosome 8. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2015].","['Protein kinase domain', 'Protein kinase-like domain superfamily', 'Protein kinase, ATP binding site', 'Aurora kinase-like', 'Serine/threonine-protein kinase, active site']"
